country,code,year,month,date,gasoline_price_usd_liter
Bahrain,BHR,2024,9,2024-09-05,0.3703703703703704
Bahrain,BHR,2024,10,2024-10-06,0.3703703703703704
Bahrain,BHR,2024,11,2024-11-06,0.3703703703703704
Bahrain,BHR,2024,12,2024-12-07,0.3703703703703704
Bangladesh,BGD,2015,12,2015-12-01,1.0913434132856594
Bangladesh,BGD,2016,1,2016-01-01,1.0959985094420273
Bangladesh,BGD,2016,2,2016-02-01,1.0945106093076926
Bangladesh,BGD,2016,3,2016-03-01,1.0972339370373994
Bangladesh,BGD,2016,4,2016-04-01,1.0975037659693179
Bangladesh,BGD,2016,5,2016-05-01,1.0973144377488415
Bangladesh,BGD,2016,6,2016-06-01,1.0980009233421717
Bangladesh,BGD,2016,7,2016-07-01,1.0975771622270096
Bangladesh,BGD,2016,8,2016-08-01,1.0983266737700306
Bangladesh,BGD,2016,9,2016-09-01,1.0982084389401217
Bangladesh,BGD,2016,10,2016-10-01,1.0977545303435945
